KET单词表汇总	
NO.	单词	音标	解释	默写	
393	weekly	[ˈwiːkli]	adj.&adv.每周（地）		
394	lorry	[ˈlɒri]	n.卡车		
395	birth	[bɜːθ]	n. 出生		
396	cloudy	[ˈklaʊdi]	adj.多云的		
397	drugstore	[ˈdrʌɡstɔː(r)]	n. [药] 药房；（美）杂货店		
398	tablet	[ˈtæblət]	平板电脑		
399	winter	[ˈwɪntər]	n.冬天;冬季		
400	furniture	[ˈfɜːnɪtʃər]	n.家具		
401	side	[saɪd]	n.侧面		
402	die	[daɪ]	v.死		
403	dentist	[ˈdentɪst]	n. 牙医		
404	centimetre	[ˈsentɪmiːtər]	n. 厘米		
405	everything	[ˈevriθɪŋ]	一切事物		
406	thin	[θɪn]	adj.薄的；瘦的；细的		
407	partner	[ˈpɑːtnər]	搭档；同伴		
408	shall	[ʃəl; ʃæl]	v. 将要		
409	sitting room		客厅		
410	look after	[lʊk ˈɑːftə(r)]	照顾；照看		
411	cap	[kæp]	（尤指有帽舌的）帽子		
412	top	[tɒp]	adj.最上面的；居首位的		
第 14 页，共 55 页
413	draw	[drɔː]	v.画		
414	collect	[kəˈlekt]	v. 收集		
415	walking	[ˈwɔːkɪŋ]	n.散步，步行		
416	gate	[ɡeɪt]	n.大门		
417	sister	[ˈsɪstər]	n.姐；妹		
418	enjoy	[ɪnˈdʒɔɪ]	v.享受;喜爱		
419	path	[pɑːθ]	n.小道，小径		
420	windsurfing	[ˈwɪndˌsɜːfɪŋ]	(n)风帆冲浪		
421	spoon	[spuːn]	n.调羹		
422	meeting	[ˈmiːtɪŋ]	n.会；集会；会见		
423	tour	[tʊər; tɔːr]	v.在...旅行		
424	reading	[ˈriːdɪŋ]	n.阅读		
425	apartment building		公寓楼		
426	afternoon	[ˌɑːftəˈnuːn]	n.下午		
427	high	[haɪ]	adj.高的		
428	stop	[stɒp]	n.车站；停止		
429	get dressed		穿上衣服		
430	post office	[ˈpəust ɔfis]	邮局		
431	most	[məʊst]	n.大部分，大多数		
432	film	[fɪlm]	n.电影；影片；胶卷		
433	floor	[flɔːr]	n.地面，地板；(楼房的)层		
434	market	[ˈmɑːkɪt]	市场		
435	police car		警车		
